fecha,producto,cantidad,precio_unitario,precio_total
2025-01-01,Mouse Ergonómico,5,45.0,225.0
2025-01-01,Auriculares Bluetooth,4,120.0,480.0
2025-01-01,Teclado Mecánico,3,85.0,255.0
2025-01-02,Auriculares Bluetooth,1,120.0,120.0
2025-01-02,Auriculares Bluetooth,3,120.0,360.0
2025-01-02,Monitor 4K,3,350.0,1050.0
2025-01-03,Teclado Mecánico,5,85.0,425.0
2025-01-03,Teclado Mecánico,4,85.0,340.0
2025-01-03,Teclado Mecánico,2,85.0,170.0
2025-01-04,Auriculares Bluetooth,4,120.0,480.0
2025-01-04,Mouse Ergonómico,4,45.0,180.0
2025-01-05,Teclado Mecánico,3,85.0,255.0
2025-01-05,Disco Externo 1TB,4,75.0,300.0
2025-01-05,Auriculares Bluetooth,1,120.0,120.0
2025-01-06,Monitor 4K,3,350.0,1050.0
2025-01-06,Mouse Ergonómico,1,45.0,45.0
2025-01-06,Disco Externo 1TB,2,75.0,150.0
2025-01-07,Disco Externo 1TB,3,75.0,225.0
2025-01-07,Monitor 4K,2,350.0,700.0
2025-01-07,Mouse Ergonómico,3,45.0,135.0
2025-01-08,Auriculares Bluetooth,5,120.0,600.0
2025-01-08,Laptop Pro,4,1200.0,4800.0
2025-01-09,Mouse Ergonómico,5,45.0,225.0
2025-01-09,Monitor 4K,2,350.0,700.0
2025-01-09,Disco Externo 1TB,4,75.0,300.0
2025-01-10,Auriculares Bluetooth,3,120.0,360.0
2025-01-10,Mouse Ergonómico,4,45.0,180.0
2025-01-10,Laptop Pro,1,1200.0,1200.0
2025-01-11,Laptop Pro,4,1200.0,4800.0
2025-01-11,Teclado Mecánico,1,85.0,85.0
2025-01-11,Teclado Mecánico,4,85.0,340.0
2025-01-12,Monitor 4K,1,350.0,350.0
2025-01-12,Mouse Ergonómico,2,45.0,90.0
2025-01-13,Mouse Ergonómico,5,45.0,225.0
2025-01-13,Disco Externo 1TB,3,75.0,225.0
2025-01-13,Disco Externo 1TB,4,75.0,300.0
2025-01-14,Disco Externo 1TB,5,75.0,375.0
2025-01-14,Teclado Mecánico,3,85.0,255.0
2025-01-14,Mouse Ergonómico,3,45.0,135.0
2025-01-15,Mouse Ergonómico,1,45.0,45.0
2025-01-15,Laptop Pro,2,1200.0,2400.0
2025-01-15,Teclado Mecánico,2,85.0,170.0
2025-01-16,Auriculares Bluetooth,5,120.0,600.0
2025-01-16,Teclado Mecánico,2,85.0,170.0
2025-01-17,Auriculares Bluetooth,4,120.0,480.0
2025-01-17,Laptop Pro,2,1200.0,2400.0
2025-01-17,Monitor 4K,5,350.0,1750.0
2025-01-18,Mouse Ergonómico,2,45.0,90.0
2025-01-18,Laptop Pro,4,1200.0,4800.0
2025-01-18,Mouse Ergonómico,1,45.0,45.0
2025-01-19,Disco Externo 1TB,5,75.0,375.0
2025-01-19,Monitor 4K,1,350.0,350.0
2025-01-19,Monitor 4K,1,350.0,350.0
2025-01-20,Laptop Pro,1,1200.0,1200.0
2025-01-20,Monitor 4K,3,350.0,1050.0
2025-01-21,Auriculares Bluetooth,3,120.0,360.0
2025-01-21,Monitor 4K,1,350.0,350.0
2025-01-21,Mouse Ergonómico,5,45.0,225.0
2025-01-22,Mouse Ergonómico,4,45.0,180.0
2025-01-22,Mouse Ergonómico,4,45.0,180.0
2025-01-22,Mouse Ergonómico,2,45.0,90.0
2025-01-23,Auriculares Bluetooth,5,120.0,600.0
2025-01-23,Teclado Mecánico,3,85.0,255.0
2025-01-23,Disco Externo 1TB,1,75.0,75.0
2025-01-24,Laptop Pro,2,1200.0,2400.0
2025-01-24,Mouse Ergonómico,4,45.0,180.0
2025-01-25,Monitor 4K,3,350.0,1050.0
2025-01-25,Mouse Ergonómico,3,45.0,135.0
2025-01-25,Monitor 4K,1,350.0,350.0
2025-01-26,Disco Externo 1TB,4,75.0,300.0
2025-01-26,Disco Externo 1TB,5,75.0,375.0
2025-01-26,Disco Externo 1TB,3,75.0,225.0
2025-01-27,Monitor 4K,1,350.0,350.0
2025-01-27,Mouse Ergonómico,5,45.0,225.0
2025-01-27,Disco Externo 1TB,4,75.0,300.0
2025-01-28,Auriculares Bluetooth,3,120.0,360.0
2025-01-28,Monitor 4K,5,350.0,1750.0
2025-01-29,Monitor 4K,5,350.0,1750.0
2025-01-29,Mouse Ergonómico,5,45.0,225.0
2025-01-29,Monitor 4K,3,350.0,1050.0
